,CO,H2,CH4,C2H4,C2H6,C3H8,Xf_LFL,Xf_UFL,Xf_stoich,Su_stoich,LFL,UFL
61,0.4813,0.0,0.0,0.0,0.5187,0.0,,,,0.44759710181883827,0.073317,0.42529380000000006
62,0.2513,0.2048,0.1189,0.0916,0.1569,0.1766,,,,0.5512040261096648,0.054514200000000006,0.42506439999999995
63,0.3173,0.2133,0.1002,0.3135,0.0,0.0557,,,,0.7667962444262806,0.06080775,0.5096695
64,0.1935,0.0,0.2028,0.4183,0.0602,0.1251,,,,0.6362003411565182,0.048079550000000006,0.3181179
65,0.0908,0.2234,0.1893,0.0613,0.2889,0.1463,,,,0.5025194120184505,0.04158625,0.3348269
66,0.1485,0.1317,0.2065,0.0194,0.2161,0.2778,,,,0.483948109622827,0.0450243,0.3044186
67,0.2385,0.1089,0.3258,0.0,0.0,0.3268,,,,0.5011597833279053,0.05417400000000001,0.34698799999999996
68,0.0358,0.5097,0.0,0.0,0.4545,0.0,,,,0.5308460747114606,0.038319,0.4654830000000001
69,0.2362,0.0,0.0,0.0487,0.0,0.7151,,,,0.5139562892733712,0.04470035,0.2633033
70,0.4088,0.1984,0.0,0.0,0.0,0.3928,,,,0.5567457354093677,0.0652408,0.49507280000000004
71,0.1655,0.3696,0.2164,0.2019,0.0,0.0466,,,,0.7440215542081968,0.050696450000000004,0.49926460000000006
72,0.6458,0.0,0.0,0.0,0.3542,0.0,,,,0.4661119353588676,0.088122,0.5282708
73,0.2766,0.0,0.4363,0.0553,0.2318,0.0,,,,0.45150006777869744,0.06086395000000001,0.3235622
74,0.0,0.3258,0.0,0.1013,0.2731,0.2998,,,,0.5397876108785538,0.03030655,0.337466
75,0.0,0.0,0.4819,0.0,0.5181,0.0,,,,0.4070601433367783,0.036746600000000004,0.14327600000000001
76,0.0823,0.324,0.267,0.036,0.2908,0.0,,,,0.5061232416850322,0.044298000000000004,0.3948682
77,0.2748,0.0,0.4471,0.0,0.0027,0.2754,,,,0.4723619910593451,0.058512800000000004,0.3075746
78,0.1647,0.0363,0.0887,0.3329,0.3208,0.0566,,,,0.5717422453724921,0.04508615,0.30600200000000005
79,0.0,0.5794,0.2331,0.1875,0.0,0.0,,,,0.8678747006306576,0.03858865,0.5264034000000001
80,0.2326,0.0712,0.0165,0.1853,0.1994,0.295,,,,0.5467442382056786,0.048758750000000003,0.3380724
81,0.155,0.2166,0.1879,0.2595,0.0909,0.0901,,,,0.6382527204900187,0.04728695000000001,0.4041042999999999
82,0.0,0.0,0.0,0.0,0.7579,0.2421,,,,0.4374123385053482,0.027821099999999998,0.1184317
83,0.2354,0.4367,0.1327,0.0441,0.0241,0.127,,,,0.6703155269564885,0.05615755,0.5542657999999999
84,0.0,0.1675,0.2642,0.2614,0.1011,0.2059,,,,0.5788939177265565,0.0328702,0.27704650000000003
85,0.0907,0.0,0.1739,0.0,0.2958,0.4395,,,,0.459304361344326,0.03663910000000001,0.1776133
86,0.4676,0.0,0.0,0.5324,0.0,0.0,,,,0.8277435077548303,0.07075300000000001,0.5029663999999999
87,0.7346,0.0,0.0,0.2654,0.0,0.0,,,,0.7666089393505999,0.09545050000000002,0.6268544
88,0.1593,0.0,0.0,0.4806,0.0,0.3601,,,,0.6438305184515641,0.039894599999999995,0.2932967
89,0.2391,0.0,0.0,0.0,0.4066,0.3544,,,,0.4618156152194164,0.0483324,0.26553780000000005
90,0.0,0.1557,0.1339,0.2866,0.3179,0.1059,,,,0.5614325105251361,0.031762,0.2708177
91,0.6139,0.0,0.0,0.0,0.3861,0.0,,,,0.4618691051412371,0.08525100000000001,0.5083014
92,0.336,0.2453,0.0,0.4186,0.0,0.0,,,,0.9123025719006174,0.061643500000000004,0.5556946
93,0.7808,0.0,0.0,0.0,0.0,0.2192,,,,0.5468216952394958,0.09829919999999999,0.6077392
94,0.506,0.1713,0.3227,0.0,0.0,0.0,,,,0.5911061051089237,0.0817708,0.5608978
95,0.0244,0.28,0.1972,0.2462,0.1929,0.0594,,,,0.6067163484543134,0.036609699999999995,0.360973
96,0.2523,0.0255,0.2238,0.2607,0.0019,0.2358,,,,0.5928569247125535,0.05332125000000001,0.34366480000000005
97,0.0,0.3228,0.0053,0.322,0.0,0.3499,,,,0.662320576739281,0.0293481,0.3704011
98,0.2628,0.0429,0.2841,0.1808,0.0455,0.184,,,,0.5580052321537278,0.055953400000000014,0.35180220000000006
99,0.0265,0.0,0.2319,0.3728,0.0918,0.2771,,,,0.5783209182246675,0.03220870000000001,0.20389770000000002
100,0.0,0.1909,0.0,0.2923,0.2435,0.2733,,,,0.5791047947538678,0.02871855,0.2845701
101,0.0554,0.2958,0.0,0.268,0.3808,0.0,,,,0.6034495729961217,0.037274,0.3872672
102,0.0,0.0251,0.1662,0.2118,0.276,0.3209,,,,0.5137915338515641,0.029160200000000004,0.1732915
103,0.0,0.0,0.322,0.678,0.0,0.0,,,,0.7325980744070076,0.032813,0.24671600000000002
104,0.0,0.4431,0.2049,0.029,0.1492,0.1738,,,,0.5529951869646503,0.035662900000000004,0.4102772
105,0.0,0.3834,0.0,0.0,0.1415,0.4751,,,,0.5307619955331451,0.0295581,0.3530811
106,0.464,0.0105,0.0,0.4669,0.0,0.0586,,,,0.7723198613568584,0.07017034999999999,0.4953270000000001
107,0.2002,0.0,0.0,0.7514,0.0,0.0483,,,,0.8119910583841792,0.045701799999999994,0.36992870000000005
108,0.2591,0.1964,0.2376,0.0543,0.1447,0.1078,,,,0.5291597850649326,0.05750045,0.4249518
109,0.4778,0.2782,0.1293,0.1017,0.0,0.013,,,,0.7755800179347525,0.07722295000000001,0.6186044
110,0.1637,0.1432,0.2474,0.2359,0.0346,0.1752,,,,0.6028415448002732,0.04746205,0.36020160000000007
111,0.0516,0.0,0.733,0.2154,0.0,0.0,,,,0.5150304791479747,0.0443675,0.2205164
112,0.2556,0.1169,0.3122,0.1602,0.0955,0.0596,,,,0.5642388683865183,0.0576069,0.3942546
113,0.2679,0.4839,0.2482,0.0,0.0,0.0,,,,0.8039839011236914,0.0624248,0.6045548
114,0.5172,0.1169,0.0,0.3659,0.0,0.0,,,,0.8519406230447822,0.07680225,0.5802223999999999
115,0.0,0.6877,0.0,0.0,0.0,0.3123,,,,0.6735914754856251,0.0340663,0.5473173
116,0.4922,0.4796,0.0282,0.0,0.0,0.0,,,,1.1180057627234437,0.07948880000000001,0.7334747999999999
117,0.0,0.0,0.1858,0.0,0.4479,0.3663,,,,0.44568367348425086,0.029304500000000004,0.12300709999999998
118,0.3737,0.0,0.0,0.0,0.0,0.6263,,,,0.5086387249274235,0.057996299999999994,0.3435313
119,0.0,0.323,0.0,0.0,0.0,0.677,,,,0.5353227530814311,0.027137,0.310627
120,0.0412,0.3196,0.2427,0.0965,0.0665,0.2334,,,,0.5660018062397281,0.03795695,0.36982119999999996
121,0.2256,0.0,0.3655,0.1782,0.0,0.2307,,,,0.5435466150537903,0.05289920000000001,0.3034079
