,CO,H2,CH4,C2H6,C3H8,Xf_LFL,Xf_UFL,Xf_stoich,Su_stoich,LFL,UFL
0,0.2960111661237538,0.1349902150621418,0.0022945322316353,0.2790191633601446,0.2876849232223243,,,,0.49130510086720863,0.05543386624400123,0.38728189267752255
1,0.2487067926206045,0.2868678971084952,0.0358554079897522,0.3274132370577305,0.1011566652234173,,,,0.5094543785387274,0.054843856031785126,0.4583773687898679
2,0.0128136931561231,0.3280030000062962,0.1439175271967816,0.2591851736169464,0.2560806060238526,,,,0.5007201089427707,0.0341433823106543,0.33721809706899714
3,0.1567977178760894,0.1932500790817207,0.1207615776834816,0.0154299551896186,0.5137606701690896,,,,0.5197629869971075,0.043111111455712184,0.3361438885890393
4,0.3657820337368772,0.0244747478863052,0.205119718900605,0.1766162781075007,0.2280072213687117,,,,0.4736271315226452,0.06398474158747205,0.371261367960656
5,0.0415830463964338,0.2707411709556643,0.1260579557192781,0.2601873991204559,0.3014304278081677,,,,0.49421504972542746,0.03550182341503206,0.3176243784515967
6,0.1945679363666062,0.143685908070245,0.100776192779145,0.3775851366589328,0.1833848261250708,,,,0.47026741052538196,0.04870837661747939,0.335560103327758
7,0.4391982568604575,0.015988223526894,0.4209238193980874,0.0047884872846528,0.1191012129299081,,,,0.48348707228212723,0.07450874790791416,0.4230443616010176
8,0.2855439736574531,0.2278831469009714,0.0327168371042648,0.3548131797391117,0.0990428625981987,,,,0.4953389622488404,0.057544439054256394,0.44443606511398576
9,0.1655372688639544,0.0428436162173919,0.2783973387120295,0.2289951455354087,0.2842266306712153,,,,0.4601670659083659,0.04666631342585728,0.25904511510396594
10,0.0899822859588983,0.1945788359706957,0.0252242531984,0.1763508023822883,0.5138638224897174,,,,0.5006808682097101,0.03577255923837794,0.2913253645385983
11,0.0779504847003263,0.0679409062959824,0.4196431049444837,0.0679325045336709,0.3665329995255366,,,,0.47002675275833067,0.04027115915948214,0.22368347597238125
12,0.0212209844799919,0.1995770724240475,0.1806669706203116,0.1765923088317585,0.4219426636438904,,,,0.4897012018160236,0.03263751294332909,0.2597415811829316
13,0.1388141255279286,0.2283426348173649,0.1373281495882997,0.2383916195869864,0.2571234704794202,,,,0.49409810998764864,0.044385180505608635,0.353419418138659
14,0.1790648240354284,0.3181577839068518,0.3318759736568298,0.1204415988847492,0.0504598195161406,,,,0.5248093790295338,0.05348953725780741,0.4473758156692693
15,0.0883758180249606,0.2076110045038656,0.0568792370659489,0.2522409394769472,0.3948930009282775,,,,0.49274394976250924,0.03727220597785389,0.30248038136433275
16,0.1647140127313392,0.2776008423271937,0.2228290213373109,0.2176185471624546,0.1172375764417014,,,,0.5013704377619976,0.04966473767983949,0.4071057958619748
17,0.2467989854208973,0.2844801373223851,0.05520358648567,0.3189188209627409,0.0945984698083066,,,,0.5082797705576179,0.05497817404362922,0.45661310949113054
18,0.0523893468494021,0.2843600321250324,0.2436415130342187,0.2684866415495537,0.1511224664417929,,,,0.48575667754239815,0.03960952052219943,0.3410749550312035
19,0.0844677726836166,0.4717177813788141,0.0569714954543064,0.3414968626681516,0.0453460878151112,,,,0.5382663793073735,0.04270876350133792,0.47340805664150637
20,0.1992131257579023,0.0344662812492368,0.3667370629624838,0.2749616086562211,0.1246219213741559,,,,0.4423693911033963,0.05228656571981093,0.2820864871133628
21,0.534527680509296,0.0374588092170232,0.1456036317071121,0.0412891249195172,0.2411207536470514,,,,0.5139558265891904,0.07835044339908298,0.4823419105030781
22,0.0750190201189733,0.1473824545628758,0.2619056224598537,0.3297149199413412,0.1859779829169558,,,,0.4595895307246591,0.0402184132245217,0.26942205444214173
